ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.69925,0.08624,0.15354,4

ROUGE-2+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.29298,0.02693,0.04933,4

ROUGE-SU4+StopWordRemoval,FNS31850,SYSTEM1.TXT,0.42849,0.03400,0.06300,4

ROUGE-L+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.56049,0.12533,0.20485,4

ROUGE-1+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.70034,0.07094,0.12883,4

ROUGE-2+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.39677,0.02055,0.03907,4

ROUGE-SU4+StopWordRemoval,FNS31851,SYSTEM1.TXT,0.50188,0.02793,0.05292,4

ROUGE-L+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.64165,0.11200,0.19071,3

ROUGE-1+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.78245,0.05344,0.10005,3

ROUGE-2+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.33984,0.01784,0.03390,3

ROUGE-SU4+StopWordRemoval,FNS32148,SYSTEM1.TXT,0.49416,0.02225,0.04259,3

ROUGE-L+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.54478,0.12134,0.19848,4

ROUGE-1+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.67605,0.05815,0.10709,4

ROUGE-2+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.30766,0.01837,0.03466,4

ROUGE-SU4+StopWordRemoval,FNS31059,SYSTEM1.TXT,0.43677,0.02235,0.04252,4

ROUGE-L+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.66285,0.15441,0.25047,3

ROUGE-1+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.77651,0.06783,0.12476,3

ROUGE-2+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.33143,0.02394,0.04466,3

ROUGE-SU4+StopWordRemoval,FNS31610,SYSTEM1.TXT,0.47451,0.02834,0.05349,3

ROUGE-L+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.64822,0.15835,0.25452,4

ROUGE-1+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.77300,0.08266,0.14934,4

ROUGE-2+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.37671,0.03125,0.05772,4

ROUGE-SU4+StopWordRemoval,FNS32149,SYSTEM1.TXT,0.49471,0.03570,0.06660,4

ROUGE-L+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.51887,0.15837,0.24268,3

ROUGE-1+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.68555,0.07244,0.13103,3

ROUGE-2+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.30621,0.02336,0.04340,3

ROUGE-SU4+StopWordRemoval,FNS31854,SYSTEM1.TXT,0.42515,0.02994,0.05595,3

