ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.53936,0.14314,0.22624,3

ROUGE-1+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.75259,0.09458,0.16804,3

ROUGE-2+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.30294,0.03404,0.06121,3

ROUGE-SU4+StopWordRemoval,FNS32355,SYSTEM1.TXT,0.41542,0.04666,0.08390,3

ROUGE-L+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.54710,0.13670,0.21874,3

ROUGE-1+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.76362,0.06314,0.11663,3

ROUGE-2+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.35538,0.02641,0.04917,3

ROUGE-SU4+StopWordRemoval,FNS31146,SYSTEM1.TXT,0.45456,0.03367,0.06270,3

ROUGE-L+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.50039,0.10953,0.17973,3

ROUGE-1+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.69950,0.06157,0.11318,3

ROUGE-2+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.26096,0.02269,0.04175,3

ROUGE-SU4+StopWordRemoval,FNS31026,SYSTEM1.TXT,0.37561,0.03128,0.05775,3

ROUGE-L+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.35776,0.20469,0.26039,3

ROUGE-1+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.61226,0.15649,0.24927,3

ROUGE-2+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.23107,0.05819,0.09297,3

ROUGE-SU4+StopWordRemoval,FNS32236,SYSTEM1.TXT,0.32084,0.07794,0.12541,3

ROUGE-L+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.44860,0.14863,0.22328,5

ROUGE-1+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.69161,0.07510,0.13548,5

ROUGE-2+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.27783,0.02722,0.04959,5

ROUGE-SU4+StopWordRemoval,FNS32599,SYSTEM1.TXT,0.37879,0.03708,0.06755,5

ROUGE-L+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.70175,0.09989,0.17488,4

ROUGE-1+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.83257,0.03485,0.06690,4

ROUGE-2+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.48233,0.01656,0.03202,4

ROUGE-SU4+StopWordRemoval,FNS31940,SYSTEM1.TXT,0.55647,0.02001,0.03862,4

ROUGE-L+StopWordRemoval,FNS32116,SYSTEM1.TXT,0.65083,0.10927,0.18713,3

ROUGE-1+StopWordRemoval,FNS32116,SYSTEM1.TXT,0.82638,0.05398,0.10134,3

ROUGE-2+StopWordRemoval,FNS32116,SYSTEM1.TXT,0.41141,0.02224,0.04221,3

ROUGE-SU4+StopWordRemoval,FNS32116,SYSTEM1.TXT,0.51114,0.02881,0.05454,3

ROUGE-L+StopWordRemoval,FNS32359,SYSTEM1.TXT,0.57572,0.14085,0.22632,3

